ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0004089,carbonate dehydratase activity,4/70,19/13093,0.21052631578947367,39.377443609022556,12.27284079225266,2.7330322894588933e-6,0.005785829356784477,0.005365373915621932,ACROYT_G040177/ACROYT_G040168/ACROYT_G040178/ACROYT_G040174,4
GO:0031012,extracellular matrix,11/70,395/13093,0.027848101265822784,5.20878842676311,6.227080485777436,7.163387173318031e-6,0.007582445322957136,0.007031430041177962,ACROYT_G020559/ACROYT_G026578/ACROYT_G032993/ACROYT_G033601/ACROYT_G019632/ACROYT_G042255/ACROYT_G035261/ACROYT_G021670/ACROYT_G042464/ACROYT_G031934/ACROYT_G021665,11
GO:0015701,bicarbonate transport,4/70,30/13093,0.13333333333333333,24.93904761904762,9.623710067995884,1.8485118714612393e-5,0.013044332106278145,0.012096402246579688,ACROYT_G040177/ACROYT_G040168/ACROYT_G040178/ACROYT_G040174,4
GO:0010811,positive regulation of cell-substrate adhesion,5/70,67/13093,0.07462686567164178,13.958422174840084,7.796155399936817,2.8223014153413637e-5,0.014937030240694168,0.013851558262135903,ACROYT_G020559/ACROYT_G026578/ACROYT_G025889/ACROYT_G016164/ACROYT_G031934,5
GO:0097205,renal filtration,3/70,14/13093,0.21428571428571427,40.08061224489796,10.72592126990832,5.107205736958273e-5,0.021623909090281328,0.02005250252510985,ACROYT_G026578/ACROYT_G030497/ACROYT_G016076,3
GO:0032352,positive regulation of hormone metabolic process,3/70,16/13093,0.1875,35.07053571428571,9.997269272940777,7.79716692600899e-5,0.027511003970601716,0.02551178301229257,ACROYT_G042339/ACROYT_G040363/ACROYT_G031934,3
GO:0035640,exploration behavior,4/70,47/13093,0.0851063829787234,15.91854103343465,7.5116110661565285,1.1234910847968025e-4,0.029730382831435385,0.02756987990981627,ACROYT_G026578/ACROYT_G021670/ACROYT_G025889/ACROYT_G021665,4
GO:0050850,positive regulation of calcium-mediated signaling,4/70,47/13093,0.0851063829787234,15.91854103343465,7.5116110661565285,1.1234910847968025e-4,0.029730382831435385,0.02756987990981627,ACROYT_G021551/ACROYT_G040363/ACROYT_G029319/ACROYT_G025889,4
GO:0016836,hydro-lyase activity,4/70,49/13093,0.08163265306122448,15.26880466472303,7.33629414183782,1.323876826428087e-4,0.031140524906091784,0.028877547149571726,ACROYT_G040177/ACROYT_G040168/ACROYT_G040178/ACROYT_G040174,4
GO:0062023,collagen-containing extracellular matrix,8/70,291/13093,0.027491408934707903,5.142071674030437,5.23867782812898,1.5453719495419515e-4,0.03271552417180311,0.030338091430481464,ACROYT_G008002/ACROYT_G020559/ACROYT_G026578/ACROYT_G032993/ACROYT_G019632/ACROYT_G042255/ACROYT_G021670/ACROYT_G021665,8
